tick,observer_x,observer_y,window_pattern,llm_label,llm_prediction,label_accuracy,prediction_accuracy,memory_mode,llm_provider,llm_model
16,25,26,XX.../.X.../.X.X./X..../..X..,chaotic,remain-empty,0,1,persistent,offline-baseline,simulated-observer
17,26,26,.X.../.XXX./.X.../...X./.....,glider-like,pattern-intensifies,1,1,persistent,offline-baseline,simulated-observer
18,24,24,..X.X/...X./X..X./XX.../...XX,stable,remain-empty,1,1,persistent,offline-baseline,simulated-observer
19,25,24,.X.X./..XX./...X./...../.X...,chaotic,pattern-intensifies,1,1,persistent,offline-baseline,simulated-observer
20,26,24,.X..X/X.X.X/...../...X./..XXX,oscillator,pattern-decays,1,1,persistent,offline-baseline,simulated-observer
21,24,25,..XX./X.X../.X.../...../..X..,oscillator,oscillation-continues,1,1,persistent,offline-baseline,simulated-observer
22,25,25,X..../...../..X../XX.../..X..,stable,remain-empty,1,1,persistent,offline-baseline,simulated-observer
23,26,25,.X.X./.XX../...../...../.X..X,unknown,pattern-decays,0,1,persistent,offline-baseline,simulated-observer
24,24,26,...../.X.X./...X./XX.X./X..XX,stable,oscillation-continues,0,1,persistent,offline-baseline,simulated-observer
25,25,26,...../X..X./.X.../X..X./...XX,empty,pattern-intensifies,1,1,persistent,offline-baseline,simulated-observer
26,26,26,X.X../...../.X.../X.X../...XX,stable,pattern-decays,0,1,persistent,offline-baseline,simulated-observer
27,24,24,...../..X../XX.../X.XXX/.....,stable,glider-shifts,1,1,persistent,offline-baseline,simulated-observer
28,25,24,...../...X./...../..XXX/....X,glider-like,pattern-intensifies,1,1,persistent,offline-baseline,simulated-observer
29,26,24,X.X../X.X../X..../X.X.X/...X.,chaotic,pattern-decays,1,1,persistent,offline-baseline,simulated-observer
30,24,25,..X../..XX./.X.../...../.....,chaotic,glider-shifts,1,1,persistent,offline-baseline,simulated-observer
31,25,25,.X.X./...XX/..X../XX.X./.....,empty,oscillation-continues,1,1,persistent,offline-baseline,simulated-observer
32,26,25,XX.../.XX../...../.X.../..XX.,stable,glider-shifts,1,0,persistent,offline-baseline,simulated-observer
33,24,26,...../XX..X/.XX../.XX../X....,stable,remain-stable,1,1,persistent,offline-baseline,simulated-observer
34,25,26,...../X..../...../X..../....X,empty,oscillation-continues,1,1,persistent,offline-baseline,simulated-observer
35,26,26,...../.X.../.X.../X..../X....,chaotic,pattern-decays,1,1,persistent,offline-baseline,simulated-observer
36,24,24,X..X./.XX.X/X..XX/...XX/...XX,empty,pattern-intensifies,1,1,persistent,offline-baseline,simulated-observer
37,25,24,...../XX..X/..XX./X..../.....,empty,glider-shifts,1,1,persistent,offline-baseline,simulated-observer
38,26,24,.X..X/...../.X..X/.X.X./.....,oscillator,pattern-intensifies,1,1,persistent,offline-baseline,simulated-observer
39,24,25,.X.X./X...X/X.X../...../..X.X,unknown,oscillation-continues,1,0,persistent,offline-baseline,simulated-observer
40,25,25,..XXX/..XXX/..X.X/...../.X...,chaotic,glider-shifts,0,1,persistent,offline-baseline,simulated-observer
41,26,25,...../X..XX/....X/..X../.X...,empty,remain-stable,1,1,persistent,offline-baseline,simulated-observer
42,24,26,..XXX/.X.../X..XX/..X../.XX..,empty,glider-shifts,1,1,persistent,offline-baseline,simulated-observer
43,25,26,X..X./..XXX/..X../.X..X/..X..,chaotic,pattern-decays,1,0,persistent,offline-baseline,simulated-observer
44,26,26,.X..X/....X/...../X.X../.X...,stable,oscillation-continues,1,1,persistent,offline-baseline,simulated-observer
45,24,24,...../..X.X/...../...X./XX...,stable,glider-shifts,1,0,persistent,offline-baseline,simulated-observer
46,25,24,XX.X./.XX../.XXX./..XX./X....,oscillator,glider-shifts,1,0,persistent,offline-baseline,simulated-observer
47,26,24,...../....X/..X../...../XX..X,empty,remain-stable,1,1,persistent,offline-baseline,simulated-observer
48,24,25,...../...X./...../...../....X,chaotic,pattern-intensifies,1,1,persistent,offline-baseline,simulated-observer
49,25,25,...../X.X.X/X..../...../..X..,glider-like,pattern-intensifies,1,1,persistent,offline-baseline,simulated-observer
